Date,EUBS_3MO,EUBS_1,EUBS_2,EUBS_6MO
2021-02-24,-15.508,-15.691,-16.2228,-13.758
2021-02-25,-15.914,-15.913,-16.0,-14.043
2021-02-26,-19.369,-17.937,-17.2059,-17.148
2021-03-01,-18.91,-17.322,-17.0325,-16.472
2021-03-02,-17.252,-16.033,-16.7389,-14.768
2021-03-03,-16.645,-17.653,-16.5255,-15.299
2021-03-04,-17.729,-17.21,-16.312,-15.852
2021-03-05,-17.515,-17.919,-17.0617,-16.24
2021-03-08,-17.999,-18.109,-17.1216,-16.443
2021-03-09,-17.365,-18.006,-17.663,-15.818
2021-03-10,-17.333,-17.915,-17.688,-15.856
2021-03-11,-16.665,-17.114,-17.7027,-15.176
2021-03-12,-16.952,-17.96,-17.8052,-15.14
2021-03-15,-16.284,-17.694,-18.0991,-14.875
2021-03-16,-16.839,-18.277,-18.613,-15.7405
2021-03-17,-17.205,-18.774,-18.9247,-16.062
2021-03-18,-16.688,-19.788,-19.762,-16.075
2021-03-19,-17.75,-20.723,-20.025,-16.313
2021-03-22,-19.744,-22.682,-20.9505,-18.586
2021-03-23,-19.598,-21.98,-21.0225,-18.332
2021-03-24,-17.921,-21.24,-20.75,-17.351
2021-03-25,-16.844,-21.052,-20.875,-16.45
2021-03-26,-17.072,-21.757,-20.9966,-16.62
2021-03-29,-18.071,-21.502,-21.1397,-17.5515
2021-03-30,-19.741,-23.348,-22.2861,-18.801
2021-03-31,-17.874,-23.016,-22.102,-17.987
2021-04-01,-16.9665,-22.296,-22.125,-17.152
2021-04-02,-17.157,-22.605,-22.425,-17.433
2021-04-05,-17.193,-22.356,-22.5625,-17.3231
2021-04-06,-16.064,-21.758,-22.788,-16.35
2021-04-07,-15.804,-21.049,-22.126,-16.326
2021-04-08,-15.1,-20.805,-21.596,-15.463
2021-04-09,-15.636,-20.84,-21.7347,-15.88
2021-04-12,-15.54,-20.26,-21.3279,-15.661
2021-04-13,-15.415,-20.437,-20.9357,-15.4699
2021-04-14,-15.161,-19.877,-20.6975,-15.159
2021-04-15,-14.556,-19.126,-19.8975,-15.061
2021-04-16,-15.444,-19.197,-20.2762,-15.452
2021-04-19,-15.266,-19.487,-19.704,-15.418
2021-04-20,-15.292,-19.105,-19.516,-14.992
2021-04-21,-15.411,-18.809,-19.1255,-15.074
2021-04-22,-14.95,-18.94,-19.1575,-14.953
2021-04-23,-15.492,-19.38,-19.1655,-15.403
2021-04-26,-15.59,-19.184,-19.318,-15.447
2021-04-27,-15.344,-19.182,-18.5137,-15.197
2021-04-28,-14.708,-18.7587,-19.0314,-14.854
2021-04-29,-13.419,-17.985,-18.5,-13.626
2021-04-30,-13.457,-17.872,-17.75,-13.531
2021-05-03,-13.457,-17.75,-18.025,-13.531
2021-05-04,-13.08,-17.21,-17.375,-12.924
2021-05-05,-12.196,-16.82,-17.25,-12.345
2021-05-06,-10.765,-15.361,-16.2369,-10.764
2021-05-07,-11.343,-15.2687,-15.5636,-11.08
2021-05-10,-11.876,-15.859,-14.9529,-11.728
2021-05-11,-11.416,-15.544,-15.2381,-11.63
2021-05-12,-10.425,-14.905,-15.1425,-10.701
2021-05-13,-11.0427,-14.6,-14.5361,-10.885
2021-05-14,-10.93,-14.605,-14.921,-10.842
2021-05-17,-10.735,-14.2455,-14.875,-10.6199
2021-05-18,-10.674,-13.598,-13.785,-10.556
2021-05-19,-10.582,-13.55,-13.59,-10.4122
2021-05-20,-10.511,-12.974,-13.6214,-10.233
2021-05-21,-10.493,-13.17,-13.7174,-10.2349
2021-05-24,-10.132,-12.634,-12.8874,-9.735
2021-05-25,-10.09,-12.266,-11.9197,-9.561
2021-05-26,-9.4433,-11.282,-10.9606,-9.111
2021-05-27,-8.94,-11.057,-11.1503,-8.514
2021-05-28,-9.06,-11.16,-11.2355,-8.4893
2021-05-31,-9.375,-11.4375,-11.5,-8.625
2021-06-01,-9.244,-10.998,-11.0159,-8.581
2021-06-02,-10.452,-11.95,-11.7239,-9.923
2021-06-03,-10.128,-13.017,-12.3708,-9.856
2021-06-04,-9.7585,-12.725,-12.0997,-9.2219
2021-06-07,-9.737,-12.519,-12.2332,-9.335
2021-06-08,-10.337,-12.681,-12.3544,-9.472
2021-06-09,-10.52,-12.578,-12.5473,-9.63
2021-06-10,-10.148,-12.191,-12.8108,-9.3224
2021-06-11,-10.25,-12.563,-13.298,-9.669
2021-06-14,-9.748,-13.037,-13.4937,-9.65
2021-06-15,-10.028,-12.736,-13.875,-9.5225
2021-06-16,-9.463,-12.89,-13.75,-9.449
2021-06-17,-9.1208,-12.8651,-13.8419,-9.411
2021-06-18,-10.2192,-14.09,-15.0959,-10.206
2021-06-21,-10.824,-15.4595,-15.75,-11.111
2021-06-22,-9.7,-14.943,-15.114,-10.3234
2021-06-23,-9.953,-15.286,-15.5944,-10.367
2021-06-24,-10.455,-15.282,-16.2172,-10.489
2021-06-25,-11.22,-15.549,-16.0729,-10.939
2021-06-28,-11.751,-15.455,-16.3644,-11.417
2021-06-29,-11.55,-15.4649,-15.875,-18.017
2021-06-30,-12.2681,-15.206,-15.625,-18.2461
2021-07-01,-10.808,-15.197,-15.7868,-18.071
2021-07-02,-10.217,-14.69,-15.3136,-17.4281
2021-07-05,-10.18,-14.276,-14.8689,-17.178
2021-07-06,-10.934,-14.7205,-15.036,-17.746
2021-07-07,-10.9437,-14.5263,-15.0781,-17.657
2021-07-08,-11.0191,-15.146,-15.2608,-18.2215
2021-07-09,-11.2692,-15.61,-15.5699,-18.776
