Date,BPBS_2,BPBS_3MO,BPBS_1,BPBS_6MO
2021-02-19,-9.04,-13.473,-12.221,-10.955
2021-02-22,-9.0,-14.02,-12.008,-11.088
2021-02-23,-10.2295,-14.06,-12.375,-11.156
2021-02-24,-10.261,-13.928,-12.401,-11.008
2021-02-25,-10.375,-13.592,-12.077,-10.948
2021-02-26,-11.1875,-15.794,-13.189,-12.872
2021-03-01,-9.875,-15.206,-12.794,-11.986
2021-03-02,-9.625,-13.198,-12.112,-10.602
2021-03-03,-9.25,-12.653,-12.112,-10.69
2021-03-04,-8.871,-13.8,-11.843,-11.098
2021-03-05,-8.657,-13.645,-12.724,-11.343
2021-03-08,-9.104,-13.125,-12.666,-11.625
2021-03-09,-9.184,-13.0,-12.067,-11.0
2021-03-10,-8.872,-13.5,-12.137,-11.5
2021-03-11,-8.434,-13.081,-11.462,-10.614
2021-03-12,-8.95,-13.57,-11.934,-10.772
2021-03-15,-9.617,-13.609,-11.568,-10.636
2021-03-16,-9.073,-13.929,-12.304,-11.081
2021-03-17,-10.709,-14.914,-13.066,-12.09
2021-03-18,-9.617,-13.658,-12.61,-11.34
2021-03-19,-10.032,-14.867,-14.08,-12.501
2021-03-22,-10.878,-15.165,-14.947,-12.832
2021-03-23,-10.951,-15.374,-15.211,-13.026
2021-03-24,-10.994,-13.856,-14.583,-12.1025
2021-03-25,-10.842,-13.316,-14.714,-11.665
2021-03-26,-10.961,-13.813,-14.493,-11.685
2021-03-29,-10.68,-14.7105,-14.747,-12.434
2021-03-30,-12.209,-15.889,-15.219,-13.029
2021-03-31,-12.215,-14.666,-15.056,-12.389
2021-04-01,-11.374,-14.241,-14.854,-12.065
2021-04-02,-12.152,-14.196,-15.048,-12.71
2021-04-05,-12.16,-14.096,-14.908,-12.142
2021-04-06,-11.914,-14.089,-15.002,-12.106
2021-04-07,-11.357,-13.172,-14.454,-11.583
2021-04-08,-10.702,-12.712,-13.801,-11.184
2021-04-09,-10.395,-13.219,-13.81,-11.454
2021-04-12,-11.028,-13.092,-13.772,-11.583
2021-04-13,-11.118,-13.241,-14.133,-11.607
