Date,GCF
2025-08-08,4.381
2025-08-07,4.39
2025-08-06,4.377
2025-08-05,4.388
2025-08-04,4.368
2025-08-01,4.378
2025-07-31,4.428
2025-07-30,4.37
2025-07-29,4.361
2025-07-28,4.362
2025-07-25,4.389
2025-07-24,4.352
2025-07-23,4.319
2025-07-22,4.319
2025-07-21,4.31
2025-07-18,4.316
2025-07-17,4.373
2025-07-16,4.378
2025-07-15,4.423
2025-07-14,4.353
2025-07-11,4.372
2025-07-10,4.37
2025-07-09,4.373
2025-07-08,4.377
2025-07-07,4.377
2025-07-03,4.379
2025-07-02,4.389
2025-07-01,4.467
2025-06-30,4.574
2025-06-27,4.405
2025-06-26,4.412
2025-06-25,4.408
2025-06-24,4.361
2025-06-23,4.343
2025-06-20,4.331
2025-06-18,4.329
2025-06-17,4.36
2025-06-16,4.38
2025-06-13,4.34
2025-06-12,4.326
2025-06-11,4.327
2025-06-10,4.334
2025-06-09,4.338
2025-06-06,4.328
2025-06-05,4.335
2025-06-04,4.329
2025-06-03,4.362
2025-06-02,4.385
2025-05-30,4.39
2025-05-29,4.365
2025-05-28,4.371
2025-05-27,4.38
2025-05-23,4.3
2025-05-22,4.29
2025-05-21,4.306
2025-05-20,4.325
2025-05-19,4.32
2025-05-16,4.349
2025-05-15,4.369
2025-05-14,4.332
2025-05-13,4.345
2025-05-12,4.332
2025-05-09,4.33
2025-05-08,4.333
2025-05-07,4.334
2025-05-06,4.364
2025-05-05,4.364
2025-05-02,4.392
2025-05-01,4.433
2025-04-30,4.488
2025-04-29,4.394
2025-04-28,4.413
2025-04-25,4.385
2025-04-24,4.332
2025-04-23,4.312
2025-04-22,4.335
2025-04-21,4.364
2025-04-17,4.384
2025-04-16,4.376
2025-04-15,4.418
2025-04-14,4.354
2025-04-11,4.362
2025-04-10,4.357
2025-04-09,4.4
2025-04-08,4.434
2025-04-07,4.396
2025-04-04,4.362
2025-04-03,4.414
2025-04-02,4.413
2025-04-01,4.427
2025-03-31,4.51
2025-03-28,4.383
2025-03-27,4.395
2025-03-26,4.397
2025-03-25,4.388
2025-03-24,4.351
2025-03-21,4.335
2025-03-20,4.342
2025-03-19,4.323
2025-03-18,4.352
2025-03-17,4.381
2025-03-14,4.338
2025-03-13,4.337
2025-03-12,4.342
2025-03-11,4.363
2025-03-10,4.346
2025-03-07,4.37
2025-03-06,4.382
2025-03-05,4.383
2025-03-04,4.381
2025-03-03,4.379
2025-02-28,4.421
2025-02-27,4.386
2025-02-26,4.369
2025-02-25,4.372
2025-02-24,4.374
2025-02-21,4.38
2025-02-20,4.386
2025-02-19,4.38
2025-02-18,4.427
2025-02-14,4.393
2025-02-13,4.376
2025-02-12,4.37
2025-02-11,4.38
2025-02-10,4.387
2025-02-07,4.384
2025-02-06,4.397
2025-02-05,4.382
2025-02-04,4.378
2025-02-03,4.393
2025-01-31,4.421
2025-01-30,4.39
2025-01-29,4.385
2025-01-28,4.402
2025-01-27,4.398
2025-01-24,4.376
2025-01-23,4.395
2025-01-22,4.332
2025-01-21,4.32
2025-01-17,4.32
2025-01-16,4.342
2025-01-15,4.307
2025-01-14,4.304
2025-01-13,4.317
2025-01-10,4.339
2025-01-09,4.344
2025-01-08,4.319
2025-01-07,4.31
2025-01-06,4.286
2025-01-03,4.346
2025-01-02,4.419
2024-12-31,4.545
2024-12-30,4.384
2024-12-27,4.439
2024-12-26,4.561
2024-12-24,4.464
2024-12-23,4.377
2024-12-20,4.346
2024-12-19,4.366
2024-12-18,4.608
2024-12-17,4.666
2024-12-16,4.691
2024-12-13,4.641
2024-12-12,4.655
2024-12-11,4.643
2024-12-10,4.663
2024-12-09,4.67
2024-12-06,4.644
2024-12-05,4.641
2024-12-04,4.622
2024-12-03,4.674
2024-12-02,4.696
2024-11-29,4.645
2024-11-27,4.604
2024-11-26,4.612
2024-11-25,4.605
2024-11-22,4.603
2024-11-21,4.609
2024-11-20,4.584
2024-11-19,4.596
2024-11-18,4.595
2024-11-15,4.606
2024-11-14,4.61
2024-11-13,4.617
2024-11-12,4.642
2024-11-08,4.628
2024-11-07,4.849
2024-11-06,4.83
2024-11-05,4.846
2024-11-04,4.861
2024-11-01,4.894
2024-10-31,4.962
2024-10-30,4.845
2024-10-29,4.849
2024-10-28,4.853
2024-10-25,4.867
2024-10-24,4.871
2024-10-23,4.875
2024-10-22,4.892
2024-10-21,4.892
2024-10-18,4.885
2024-10-17,4.935
2024-10-16,4.945
2024-10-15,4.932
2024-10-11,4.845
2024-10-10,4.85
2024-10-09,4.857
2024-10-08,4.887
2024-10-07,4.878
2024-10-04,4.885
2024-10-03,4.895
2024-10-02,4.963
2024-10-01,5.159
2024-09-30,5.221
2024-09-27,4.892
2024-09-26,4.893
2024-09-25,4.891
2024-09-24,4.892
2024-09-23,4.868
2024-09-20,4.865
2024-09-19,4.857
2024-09-18,5.368
2024-09-17,5.421
2024-09-16,5.436
2024-09-13,5.41
2024-09-12,5.399
2024-09-11,5.375
2024-09-10,5.375
2024-09-09,5.403
2024-09-06,5.417
2024-09-05,5.432
2024-09-04,5.431
2024-09-03,5.465
2024-08-30,5.391
2024-08-29,5.382
2024-08-28,5.4
2024-08-27,5.419
2024-08-26,5.397
2024-08-23,5.39
2024-08-22,5.364
2024-08-21,5.347
2024-08-20,5.363
2024-08-19,5.367
2024-08-16,5.37
2024-08-15,5.407
2024-08-14,5.365
2024-08-13,5.403
2024-08-12,5.398
2024-08-09,5.396
2024-08-08,5.415
2024-08-07,5.389
2024-08-06,5.398
2024-08-05,5.378
2024-08-02,5.397
2024-08-01,5.448
2024-07-31,5.471
2024-07-30,5.391
2024-07-29,5.385
2024-07-26,5.406
2024-07-25,5.423
2024-07-24,5.382
2024-07-23,5.386
2024-07-22,5.383
2024-07-19,5.39
2024-07-18,5.409
2024-07-17,5.428
2024-07-16,5.426
2024-07-15,5.417
2024-07-12,5.392
2024-07-11,5.41
2024-07-10,5.399
2024-07-09,5.41
2024-07-08,5.386
2024-07-05,5.371
2024-07-03,5.373
2024-07-02,5.418
2024-07-01,5.425
2024-06-28,5.39
2024-06-27,5.36
2024-06-26,5.389
2024-06-25,5.42
2024-06-24,5.364
2024-06-21,5.352
2024-06-20,5.345
2024-06-18,5.385
2024-06-17,5.408
2024-06-14,5.376
2024-06-13,5.371
2024-06-12,5.356
2024-06-11,5.367
2024-06-10,5.359
2024-06-07,5.385
2024-06-06,5.396
2024-06-05,5.39
2024-06-04,5.403
2024-06-03,5.41
2024-05-31,5.423
2024-05-30,5.374
2024-05-29,5.395
2024-05-28,5.4
2024-05-24,5.369
2024-05-23,5.356
2024-05-22,5.351
2024-05-21,5.355
2024-05-20,5.349
2024-05-17,5.356
2024-05-16,5.372
2024-05-15,5.362
2024-05-14,5.348
2024-05-13,5.318
2024-05-10,5.346
2024-05-09,5.35
2024-05-08,5.351
2024-05-07,5.361
2024-05-06,5.349
2024-05-03,5.349
2024-05-02,5.369
2024-05-01,5.371
2024-04-30,5.413
2024-04-29,5.361
2024-04-26,5.358
2024-04-25,5.369
2024-04-24,5.329
2024-04-23,5.331
2024-04-22,5.324
2024-04-19,5.329
2024-04-18,5.339
2024-04-17,5.317
2024-04-16,5.359
2024-04-15,5.391
2024-04-12,5.344
2024-04-11,5.341
2024-04-10,5.351
2024-04-09,5.348
2024-04-08,5.354
