Date,JYBS3M
2025-08-08,-17.875
2025-08-07,-18.0
2025-08-06,-17.5
2025-08-05,-17.75
2025-08-04,-18.75
2025-08-01,-19.375
2025-07-31,-18.625
2025-07-30,-19.25
2025-07-29,-19.75
2025-07-28,-18.875
2025-07-25,-18.25
2025-07-24,-17.5
2025-07-23,-18.25
2025-07-22,-19.25
2025-07-21,-20.875
2025-07-18,-20.625
2025-07-17,-20.75
2025-07-16,-21.75
2025-07-15,-22.0
2025-07-14,-21.375
2025-07-11,-21.125
2025-07-10,-21.5
2025-07-09,-21.625
2025-07-08,-21.5
2025-07-07,-21.75
2025-07-04,-23.0
2025-07-03,-23.25
2025-07-02,-22.875
2025-07-01,-22.375
2025-06-30,-23.125
2025-06-27,-22.625
2025-06-26,-21.5
2025-06-25,-22.0
2025-06-24,-22.25
2025-06-23,-23.0
2025-06-20,-22.125
2025-06-19,-23.875
2025-06-18,-24.125
2025-06-17,-24.375
2025-06-16,-24.75
2025-06-13,-24.5
2025-06-12,-23.125
2025-06-11,-22.75
2025-06-10,-23.125
2025-06-09,-23.25
2025-06-06,-23.0
2025-06-05,-22.5
2025-06-04,-23.0
2025-06-03,-23.75
2025-06-02,-24.75
2025-05-30,-25.0
2025-05-29,-24.625
2025-05-28,-24.625
2025-05-27,-24.5
2025-05-26,-24.5
2025-05-23,-25.0
2025-05-22,-24.25
2025-05-21,-23.875
2025-05-20,-23.875
2025-05-19,-23.625
2025-05-16,-24.125
2025-05-15,-24.125
2025-05-14,-24.5
2025-05-13,-24.0
2025-05-12,-24.25
2025-05-09,-25.125
2025-05-08,-24.75
2025-05-07,-24.75
2025-05-06,-24.5
2025-05-02,-24.0
2025-05-01,-24.0
2025-04-30,-24.625
2025-04-29,-24.5
2025-04-28,-24.75
2025-04-25,-25.25
2025-04-24,-24.875
2025-04-23,-24.875
2025-04-22,-27.125
2025-04-21,-28.125
2025-04-18,-28.625
2025-04-17,-26.5
2025-04-16,-28.25
2025-04-15,-28.625
2025-04-14,-30.25
2025-04-11,-33.5
2025-04-10,-30.5
2025-04-09,-35.25
2025-04-08,-28.75
2025-04-07,-34.5
2025-04-04,-31.0
2025-04-03,-28.125
2025-04-02,-26.5
2025-04-01,-26.844
2025-03-31,-27.125
2025-03-28,-25.75
2025-03-27,-25.5
2025-03-26,-25.625
2025-03-25,-24.5
2025-03-24,-25.375
2025-03-21,-26.3745
2025-03-19,-27.2505
2025-03-18,-27.25
2025-03-17,-27.75
2025-03-14,-29.25
2025-03-13,-28.25
2025-03-12,-29.5
2025-03-11,-29.125
2025-03-10,-28.0
2025-03-07,-28.0005
2025-03-06,-27.25
2025-03-05,-27.625
2025-03-04,-28.938
2025-03-03,-27.812
2025-02-28,-28.312
2025-02-27,-27.375
2025-02-26,-28.0
2025-02-25,-27.0005
2025-02-24,-26.5
2025-02-21,-26.5
2025-02-20,-27.188
2025-02-19,-26.781
2025-02-18,-26.5
2025-02-17,-26.375
2025-02-14,-26.875
2025-02-13,-27.375
2025-02-12,-27.625
2025-02-11,-28.375
2025-02-10,-28.375
2025-02-07,-27.375
2025-02-06,-26.875
2025-02-05,-27.5005
2025-02-04,-27.5005
2025-02-03,-29.625
2025-01-31,-28.75
2025-01-30,-28.625
2025-01-29,-29.188
2025-01-28,-31.875
2025-01-27,-32.0
2025-01-24,-29.375
2025-01-23,-28.25
2025-01-22,-29.125
2025-01-21,-29.25
2025-01-20,-27.75
2025-01-17,-27.312
2025-01-16,-28.125
2025-01-15,-29.75
2025-01-14,-27.5
2025-01-13,-27.438
2025-01-10,-27.0005
2025-01-09,-27.25
2025-01-08,-27.0005
2025-01-07,-25.25
2025-01-06,-24.5
2025-01-03,-27.0005
2025-01-02,-27.062
2024-12-30,-27.062
2024-12-27,-27.625
2024-12-26,-33.125
2024-12-25,-32.5
2024-12-24,-34.0625
2024-12-23,-33.625
2024-12-20,-40.688
2024-12-19,-39.875
2024-12-18,-40.125
2024-12-17,-40.594
2024-12-16,-40.25
2024-12-13,-40.0
2024-12-12,-39.625
2024-12-11,-40.0
2024-12-10,-40.875
2024-12-09,-40.75
2024-12-06,-36.5
2024-12-05,-37.031
2024-12-04,-38.0
2024-12-03,-37.0
2024-12-02,-41.0
2024-11-29,-44.156
2024-11-28,-44.5
2024-11-27,-42.875
2024-11-26,-44.062
2024-11-25,-43.5
2024-11-22,-44.875
2024-11-21,-45.938
2024-11-20,-43.625
2024-11-19,-44.875
2024-11-18,-43.75
2024-11-15,-44.25
2024-11-14,-44.375
2024-11-13,-42.625
2024-11-12,-41.25
2024-11-11,-42.8125
2024-11-08,-42.25
2024-11-07,-41.5
2024-11-06,-44.25
2024-11-05,-47.031
2024-11-04,-49.25
2024-11-01,-49.25
2024-10-31,-50.5
2024-10-30,-50.75
2024-10-29,-50.125
2024-10-28,-49.8125
2024-10-25,-50.25
2024-10-24,-49.875
2024-10-23,-49.4375
2024-10-22,-49.375
2024-10-21,-47.0
2024-10-18,-48.75
2024-10-17,-51.5
2024-10-16,-50.0
2024-10-15,-51.0
2024-10-14,-53.125
2024-10-11,-53.0
2024-10-10,-53.25
2024-10-09,-49.5
2024-10-08,-47.75
2024-10-07,-45.469
2024-10-04,-47.25
2024-10-03,-51.5
2024-10-02,-49.125
2024-10-01,-45.1875
2024-09-30,-45.0
2024-09-27,-41.125
2024-09-26,-28.25
2024-09-25,-30.25
2024-09-24,-28.5
2024-09-23,-26.0
2024-09-20,-25.969
2024-09-19,-25.375
2024-09-18,-26.25
2024-09-17,-28.0
2024-09-16,-28.188
2024-09-13,-28.25
2024-09-12,-26.875
2024-09-11,-28.125
2024-09-10,-28.625
2024-09-09,-27.0
2024-09-06,-28.875
2024-09-05,-27.125
2024-09-04,-26.3125
2024-09-03,-25.5
2024-09-02,-25.25
2024-08-30,-25.25
2024-08-29,-24.75
2024-08-28,-25.25
2024-08-27,-24.75
2024-08-26,-25.25
2024-08-23,-25.0
2024-08-22,-25.25
2024-08-21,-25.469
2024-08-20,-25.75
2024-08-19,-26.062
2024-08-16,-27.938
2024-08-15,-29.125
2024-08-14,-29.375
2024-08-13,-28.281
2024-08-12,-27.5
2024-08-09,-27.5
2024-08-08,-27.875
2024-08-07,-27.125
2024-08-06,-28.375
2024-08-05,-35.125
2024-08-02,-29.625
2024-08-01,-26.75
2024-07-31,-26.25
2024-07-30,-26.875
2024-07-29,-26.0
2024-07-26,-23.688
2024-07-25,-24.375
2024-07-24,-22.5
2024-07-23,-23.25
2024-07-22,-23.375
2024-07-19,-22.625
2024-07-18,-22.25
2024-07-17,-21.875
2024-07-16,-21.875
2024-07-15,-23.5
2024-07-12,-23.75
2024-07-11,-24.0
2024-07-10,-23.938
2024-07-09,-23.875
2024-07-08,-23.75
2024-07-05,-24.0
2024-07-04,-23.0
2024-07-03,-24.125
2024-07-02,-24.6571
2024-07-01,-26.125
2024-06-28,-27.1875
2024-06-27,-25.75
2024-06-26,-24.375
2024-06-25,-26.625
2024-06-24,-25.875
2024-06-21,-25.625
2024-06-20,-24.625
2024-06-19,-25.0
2024-06-18,-24.75
2024-06-17,-25.625
2024-06-14,-27.875
2024-06-13,-24.25
2024-06-12,-24.375
2024-06-11,-25.25
2024-06-10,-23.625
2024-06-07,-23.5
2024-06-06,-23.5
2024-06-05,-24.25
2024-06-04,-24.5
2024-06-03,-23.25
2024-05-31,-23.375
2024-05-30,-23.75
2024-05-29,-24.625
2024-05-28,-24.5
2024-05-27,-24.5
2024-05-24,-23.875
2024-05-23,-22.875
2024-05-22,-24.0
2024-05-21,-24.375
2024-05-20,-24.875
2024-05-17,-24.875
2024-05-16,-24.25
2024-05-15,-25.625
2024-05-14,-26.375
2024-05-13,-26.375
2024-05-10,-25.625
2024-05-09,-25.75
2024-05-08,-25.125
2024-05-07,-25.25
2024-05-06,-24.875
2024-05-03,-24.875
2024-05-02,-24.875
2024-05-01,-25.25
2024-04-30,-24.25
2024-04-29,-26.375
2024-04-26,-28.0
2024-04-25,-27.5
2024-04-24,-28.375
2024-04-23,-27.625
2024-04-22,-26.875
2024-04-19,-27.375
2024-04-18,-26.625
2024-04-17,-25.25
2024-04-16,-27.875
2024-04-15,-27.25
2024-04-12,-29.0
2024-04-11,-26.75
