Date,MOVE
12/08/2025,77.42
11/08/2025,81.76
08/08/2025,79.2
07/08/2025,80.15
06/08/2025,83.89
05/08/2025,89.2
04/08/2025,87.95
01/08/2025,83.83
31/07/2025,79.84
30/07/2025,81.88
29/07/2025,85.07
28/07/2025,83.73
25/07/2025,82.09
24/07/2025,82.75
23/07/2025,85.95
22/07/2025,89.89
21/07/2025,86.62
18/07/2025,83.29
17/07/2025,85.57
16/07/2025,89.52
15/07/2025,88.95
14/07/2025,90.73
11/07/2025,85.48
10/07/2025,81.58
09/07/2025,84.31
08/07/2025,88.05
07/07/2025,88.53
03/07/2025,86.09
02/07/2025,91.37
01/07/2025,93.48
30/06/2025,90.26
27/06/2025,87.93
26/06/2025,89.47
25/06/2025,91.24
24/06/2025,92.62
23/06/2025,95.03
20/06/2025,90.1
18/06/2025,93.64
17/06/2025,97.18
16/06/2025,93.48
13/06/2025,95.31
12/06/2025,88.99
11/06/2025,89.36
10/06/2025,91.22
09/06/2025,92.62
06/06/2025,89.65
05/06/2025,94.65
04/06/2025,96.98
03/06/2025,100.0
02/06/2025,95.76
30/05/2025,92.11
29/05/2025,92.67
28/05/2025,93.2
27/05/2025,97.93
23/05/2025,100.91
22/05/2025,99.47
21/05/2025,102.1
20/05/2025,101.37
19/05/2025,103.81
16/05/2025,96.7
15/05/2025,98.65
14/05/2025,100.73
13/05/2025,100.13
12/05/2025,102.9
09/05/2025,100.4
08/05/2025,98.66
07/05/2025,99.87
06/05/2025,106.18
05/05/2025,104.45
02/05/2025,101.4
01/05/2025,107.33
30/04/2025,112.48
29/04/2025,112.27
28/04/2025,110.01
25/04/2025,105.79
24/04/2025,108.28
23/04/2025,116.6
22/04/2025,118.35
21/04/2025,128.56
17/04/2025,114.64
16/04/2025,119.4
15/04/2025,122.56
14/04/2025,132.46
11/04/2025,137.26
10/04/2025,128.35
09/04/2025,128.83
08/04/2025,139.88
07/04/2025,137.3
04/04/2025,125.71
03/04/2025,112.0
02/04/2025,106.39
01/04/2025,104.73
31/03/2025,101.35
28/03/2025,96.83
27/03/2025,91.03
26/03/2025,91.41
25/03/2025,93.57
24/03/2025,95.22
21/03/2025,94.54
20/03/2025,95.74
19/03/2025,91.4
18/03/2025,96.68
17/03/2025,99.78
14/03/2025,101.01
13/03/2025,106.19
12/03/2025,104.11
11/03/2025,114.6
10/03/2025,112.5
07/03/2025,104.41
06/03/2025,108.95
05/03/2025,104.32
04/03/2025,108.87
03/03/2025,105.65
28/02/2025,104.46
27/02/2025,96.27
26/02/2025,97.52
25/02/2025,96.61
24/02/2025,88.44
21/02/2025,91.83
20/02/2025,86.26
19/02/2025,83.86
18/02/2025,84.51
14/02/2025,84.67
13/02/2025,84.57
12/02/2025,86.58
11/02/2025,85.58
10/02/2025,87.68
07/02/2025,93.13
06/02/2025,93.9
05/02/2025,94.68
04/02/2025,90.28
03/02/2025,94.15
31/01/2025,91.76
30/01/2025,90.54
29/01/2025,90.73
28/01/2025,92.83
27/01/2025,95.05
24/01/2025,86.75
23/01/2025,88.51
22/01/2025,89.9
21/01/2025,96.78
17/01/2025,95.6
16/01/2025,92.72
15/01/2025,93.1
14/01/2025,101.99
13/01/2025,103.51
10/01/2025,96.57
09/01/2025,99.73
08/01/2025,100.76
07/01/2025,102.78
06/01/2025,97.89
03/01/2025,93.35
02/01/2025,96.67
31/12/2024,98.8
30/12/2024,99.08
27/12/2024,94.8
26/12/2024,95.2
24/12/2024,96.95
23/12/2024,95.85
20/12/2024,91.75
19/12/2024,90.41
18/12/2024,87.21
17/12/2024,90.42
16/12/2024,90.88
13/12/2024,85.66
12/12/2024,82.66
11/12/2024,82.4
10/12/2024,90.1
09/12/2024,85.63
06/12/2024,83.2
05/12/2024,91.48
04/12/2024,92.25
03/12/2024,95.6
02/12/2024,97.81
29/11/2024,95.22
27/11/2024,97.74
26/11/2024,99.18
25/11/2024,99.96
22/11/2024,99.14
21/11/2024,101.9
20/11/2024,106.69
19/11/2024,105.12
18/11/2024,102.01
15/11/2024,102.47
14/11/2024,99.43
13/11/2024,102.08
12/11/2024,108.55
08/11/2024,99.85
07/11/2024,104.08
06/11/2024,117.64
05/11/2024,130.43
04/11/2024,136.25
01/11/2024,132.58
31/10/2024,135.18
30/10/2024,130.8
29/10/2024,131.87
28/10/2024,130.92
25/10/2024,128.4
24/10/2024,127.48
23/10/2024,129.05
22/10/2024,129.26
21/10/2024,128.95
18/10/2024,123.13
17/10/2024,122.14
16/10/2024,121.86
15/10/2024,127.23
11/10/2024,118.47
10/10/2024,116.56
09/10/2024,122.39
08/10/2024,123.77
07/10/2024,124.23
04/10/2024,100.15
03/10/2024,101.16
02/10/2024,102.17
01/10/2024,104.14
30/09/2024,94.61
27/09/2024,92.53
26/09/2024,90.14
25/09/2024,91.64
24/09/2024,93.3
23/09/2024,93.87
20/09/2024,91.0
19/09/2024,92.64
18/09/2024,98.61
17/09/2024,101.58
16/09/2024,101.22
13/09/2024,100.6
12/09/2024,98.03
11/09/2024,103.79
10/09/2024,108.36
09/09/2024,104.61
06/09/2024,107.24
05/09/2024,114.81
04/09/2024,119.15
03/09/2024,114.2
30/08/2024,107.77
29/08/2024,106.7
28/08/2024,108.76
27/08/2024,109.22
26/08/2024,106.66
23/08/2024,105.63
22/08/2024,108.5
21/08/2024,111.38
20/08/2024,111.57
19/08/2024,110.13
16/08/2024,102.81
15/08/2024,103.74
14/08/2024,106.34
13/08/2024,118.44
12/08/2024,118.26
09/08/2024,108.26
08/08/2024,110.42
07/08/2024,112.69
06/08/2024,119.24
05/08/2024,121.22
02/08/2024,112.26
01/08/2024,101.82
31/07/2024,99.41
30/07/2024,100.42
29/07/2024,98.65
26/07/2024,97.76
25/07/2024,99.08
24/07/2024,94.81
23/07/2024,95.04
22/07/2024,94.45
19/07/2024,94.29
18/07/2024,91.97
17/07/2024,91.0
16/07/2024,93.87
